genome.genome_id	feature.patric_id	feature.aa_sequence_md5
1313.13767	fig|1313.13767.peg.1898	6ef34467dbca4ed42b15c48b4d40c02f
1313.13767	fig|1313.13767.peg.224	a41951fdca3a19bec422891ea67a4acb
1313.13767	fig|1313.13767.peg.1834	b9b71ef0ce41207da47388d3b072bcd3
1313.13767	fig|1313.13767.peg.183	35bd757df6f26624ef3c857e77bd4b04
1313.13767	fig|1313.13767.peg.1674	3530a1c52e0625d0bdf929f535d1e4f1
1313.13767	fig|1313.13767.peg.1904	0ad116317bdd3be451b5ef1fb7798970
1313.13767	fig|1313.13767.peg.1654	4d1837db3572154646af578cb2db613d
1313.13767	fig|1313.13767.peg.1771	f4b53e8b8f1c927154677ec678b877dd
1313.13767	fig|1313.13767.repeat.192	
1313.13767	fig|1313.13767.peg.1689	606bcea703b725c34219f883097f2a24
1313.13767	fig|1313.13767.peg.496	ca52dbafc5d9b19279f54f85e244b788
1313.13767	fig|1313.13767.repeat_unit.189	
1313.13767	fig|1313.13767.peg.2060	66b5d0957ae94c97a51e96b3a0bcfe3b
1313.13767	fig|1313.13767.peg.306	a4ea66c821b553d088aef1a411bc503d
1313.13767	fig|1313.13767.repeat_unit.88	
1313.13767	fig|1313.13767.peg.1713	49e3208f86885a02623fa49a1e11e514
1313.13767	fig|1313.13767.repeat_unit.75	
1313.13767	fig|1313.13767.peg.1161	89848489a297e3f0014f4f3309840b6c
1313.13767	fig|1313.13767.peg.827	d6f9f8add43502d9df0e5c42dad30d7c
1313.13767	fig|1313.13767.peg.197	e322d8b76ddc58fcc873dc7c5aabb62e
1313.13767	fig|1313.13767.peg.326	7016e0db34714cead60fe6f00d1dca08
1313.13767	fig|1313.13767.peg.2019	76114911728858594ce1de798b1e1845
1313.13767	fig|1313.13767.peg.1109	2bf20fdaf6a6abde9dd3d0df46dcc712
1313.13767	fig|1313.13767.peg.1644	e5bda0d01fa8f59bcd3499408e5484ac
1313.13767	fig|1313.13767.peg.1918	fb1b35afd009d751d6c3ed43633fed62
1313.13767	fig|1313.13767.repeat_unit.146	
1313.13767	fig|1313.13767.peg.1507	7a1ff7d8a77f97d62fb9c3e2c42f99c9
1313.13767	fig|1313.13767.repeat_unit.193	
1313.13767	fig|1313.13767.peg.450	1cfe7b831e72861d40d3f51e2dab41b5
1313.13767	fig|1313.13767.peg.1346	ab1b8c61081ff935665cc2ac26f86218
1313.13767	fig|1313.13767.peg.352	3363785caee495667e2820740fdc486d
1313.13767	fig|1313.13767.peg.518	201c859b487e5b3da1937a123a2e210f
1313.13767	fig|1313.13767.peg.887	075b567113e894dfd57ba7f8867d7fda
1313.13767	fig|1313.13767.peg.825	7a09289e1d8d01067226bc4ff7e21ee1
1313.13767	fig|1313.13767.repeat_unit.252	
1313.13767	fig|1313.13767.peg.1836	6216da54f38981203643319b55eeca37
1313.13767	fig|1313.13767.peg.2220	9db8beeab985f9a9b447bf68d5f50d5f
1313.13767	fig|1313.13767.repeat.241	
1313.13767	fig|1313.13767.peg.355	016f15fb2ed727dadfb194bd2abfe0a1
1313.13767	fig|1313.13767.repeat_unit.335	
1313.13767	fig|1313.13767.repeat.265	
1313.13767	fig|1313.13767.peg.446	149afb18c05dbfac1cd00433404a41df
1313.13767	fig|1313.13767.repeat_unit.171	
1313.13767	fig|1313.13767.repeat_unit.2	
1313.13767	fig|1313.13767.peg.1922	448f8d6a9ca8ecf097527e7cc958c406
1313.13767	fig|1313.13767.peg.1155	2508a4fe6d489f632612e7407db5be86
1313.13767	fig|1313.13767.peg.741	2a6582e5aedeec4f371850dc30a76b17
1313.13767	fig|1313.13767.peg.849	243608b0691ef0e958ee1ba7c278ce1f
1313.13767	fig|1313.13767.peg.47	cc30fdf8b59977487f0227465825c8c8
1313.13767	fig|1313.13767.peg.179	9d6b3522e2f3da35fa3cedea1eaeb914
1313.13767	fig|1313.13767.peg.1319	bff211939f4fd2e369f9ff8531fc08a6
1313.13767	fig|1313.13767.peg.1469	f24a8f1b887818b021478e42a89ba6c8
1313.13767	fig|1313.13767.repeat_unit.48	
1313.13767	fig|1313.13767.peg.221	40dd3eead35548eb90e374e0d8fd1c19
1313.13767	fig|1313.13767.peg.1663	206fa276777843adad1cd1826d8900e3
1313.13767	fig|1313.13767.peg.119	187df89f23b43ae5a2322868a2b1b572
1313.13767	fig|1313.13767.peg.591	e8b7722d244091c5e62c5a89d0ccdbd1
1313.13767	fig|1313.13767.peg.527	fd22d389d0863cf698bdaadd5acdcfc7
1313.13767	fig|1313.13767.peg.148	7f2884a431a08ee6ae51a9be9a9e9bed
1313.13767	fig|1313.13767.peg.875	bc889c01af069c4b5aa37635ecb3f677
1313.13767	fig|1313.13767.peg.1666	61b998d1a7f060bc0873620accd284d3
1313.13767	fig|1313.13767.peg.1964	243da89e5da41c4136d359062c47f24b
1313.13767	fig|1313.13767.peg.175	416f2ec91518536802a15a409a3b4b95
1313.13767	fig|1313.13767.repeat_unit.413	
1313.13767	fig|1313.13767.peg.1473	ce87733723b6f9d4fe937217dad65279
1313.13767	fig|1313.13767.repeat_unit.247	
1313.13767	fig|1313.13767.peg.364	bd9ff403fde50d6933e8360502987465
1313.13767	fig|1313.13767.repeat.47	
1313.13767	fig|1313.13767.peg.1415	3028f236d134e005b61f6073a404aed4
1313.13767	fig|1313.13767.peg.1919	ea38f7e6aabf9b84379cb0a3bcc81497
1313.13767	fig|1313.13767.peg.573	cb73de15ce6e905edd3d68355e1ef4ca
1313.13767	fig|1313.13767.peg.1724	1e60a031e169d0752b80c3c1514badd6
1313.13767	fig|1313.13767.peg.45	64b48a4ad2191e6b831c2b6e38dc66fe
1313.13767	fig|1313.13767.peg.321	fe400573ed267f5fa01ef08278ccdbcf
1313.13767	fig|1313.13767.peg.370	f7c5a24ecb2baac2ec1219de96601900
1313.13767	fig|1313.13767.peg.251	1b9f554bc25519b115893c46a2281f79
1313.13767	fig|1313.13767.repeat.258	
1313.13767	fig|1313.13767.peg.761	904f6fdd9c89b582a9c782139c79c656
1313.13767	fig|1313.13767.peg.72	cd4f185e725f9de7a9de8f7a913878b7
1313.13767	fig|1313.13767.peg.1002	08fb18629ac0d833ac3821f01fa9d303
1313.13767	fig|1313.13767.peg.1688	bd7278b182d80908d2b787f46ae9a21f
1313.13767	fig|1313.13767.peg.2048	8d0c1474361f595c9179719da18801a8
1313.13767	fig|1313.13767.peg.1868	87eccaf72b0db8ae09decc132fd388cb
1313.13767	fig|1313.13767.peg.1221	05002021d5502dc09d533fafa755b402
1313.13767	fig|1313.13767.peg.2200	10f2b47cf1c9a87468b5eed0b042bdc9
1313.13767	fig|1313.13767.repeat.145	
1313.13767	fig|1313.13767.peg.732	b21e3ee727744cb7dc00276024d4c692
1313.13767	fig|1313.13767.peg.75	6ecacd35a9b6577eb0ef817e699bf88a
1313.13767	fig|1313.13767.peg.2037	949d45e4392ed7a07e1c323b45a39f8b
1313.13767	fig|1313.13767.peg.1131	78a1b21a45ff4d6e6e3370c26d8d1287
1313.13767	fig|1313.13767.peg.1085	d39e075023c994f1859162fb9f4bdb90
1313.13767	fig|1313.13767.peg.329	d9a0c5ef157f8db057dc949a203d8503
1313.13767	fig|1313.13767.peg.1509	31118e1e4fbe3e8be72d183976613c4a
1313.13767	fig|1313.13767.repeat_unit.631	
1313.13767	fig|1313.13767.peg.690	a1418ad0ed19727dff1001f6a7664bbc
1313.13767	fig|1313.13767.repeat.16	
1313.13767	fig|1313.13767.peg.853	d04c65d03158122d47c8da2dc0c478f8
1313.13767	fig|1313.13767.peg.33	02c98579978fee8a372887abe5964205
1313.13767	fig|1313.13767.peg.2244	69d408e411deeda52cd78a326bc3c006
1313.13767	fig|1313.13767.peg.1241	a209c2e8f3f982bce0b7788c3291a9a4
1313.13767	fig|1313.13767.peg.314	50dac87b229274eeb7add608869ce4bd
1313.13767	fig|1313.13767.repeat_unit.540	
1313.13767	fig|1313.13767.repeat_unit.286	
1313.13767	fig|1313.13767.repeat_unit.367	
1313.13767	fig|1313.13767.repeat.185	
1313.13767	fig|1313.13767.peg.1443	faa25ce4c7ba41baf4deacbbfff5092f
1313.13767	fig|1313.13767.peg.1139	a3d3700897cc8f2cf1d746dc92050935
1313.13767	fig|1313.13767.peg.233	b1af2399f0b22f1aa26db544f72b0756
1313.13767	fig|1313.13767.repeat_unit.161	
1313.13767	fig|1313.13767.peg.470	4c2f67cd0b2fb591a8ccf538f7a66daf
1313.13767	fig|1313.13767.peg.1219	ff3e55aff5362149350d1138f19d04e1
1313.13767	fig|1313.13767.peg.463	52bcc6c8200fda65d381feb3fbdfc8db
1313.13767	fig|1313.13767.peg.644	c116ed70d5c2a9679a0e7eef56eb066d
1313.13767	fig|1313.13767.repeat_unit.24	
1313.13767	fig|1313.13767.peg.1682	b9a9c852205fce3c10735a3b21e9881b
1313.13767	fig|1313.13767.peg.1334	08c112abd8d9bb8ce302b48092b6b08b
1313.13767	fig|1313.13767.peg.1061	bbb29122267b7913197e82701e0e2b05
1313.13767	fig|1313.13767.peg.822	14e93d1a1b2743e721d5f5c3a45c8a54
1313.13767	fig|1313.13767.repeat.99	
1313.13767	fig|1313.13767.repeat.232	
1313.13767	fig|1313.13767.repeat.169	
1313.13767	fig|1313.13767.peg.811	5a8a328d12249ef8851573c0dd900cd3
1313.13767	fig|1313.13767.peg.988	39739c8978abcf5eb90e75e98f23996c
1313.13767	fig|1313.13767.peg.1504	a1d0fb4a5db6c5f226156b67bc42fcf5
1313.13767	fig|1313.13767.peg.1669	07329feaef225c95d87df4ca1dfcb5b1
1313.13767	fig|1313.13767.peg.917	fc4a9ca9e4836869eaec0fbf009d6ed4
1313.13767	fig|1313.13767.peg.1111	0d189ba1e1a11ad2bc4e7ada9217e3d9
1313.13767	fig|1313.13767.repeat_unit.5	
1313.13767	fig|1313.13767.peg.177	0842a8713bb79080006861d11ac946b0
1313.13767	fig|1313.13767.peg.1206	512145bb42ae2fecf220df6243f64617
1313.13767	fig|1313.13767.peg.1782	046c4fefb59b666c55b0b7d404afbab0
1313.13767	fig|1313.13767.peg.288	9658a7efb1ab2195dc92f575e954606f
1313.13767	fig|1313.13767.repeat_unit.348	
1313.13767	fig|1313.13767.repeat_unit.66	
1313.13767	fig|1313.13767.peg.930	3bd96858dfdb0eb10fd767e668bb891f
1313.13767	fig|1313.13767.repeat_unit.79	
1313.13767	fig|1313.13767.peg.1773	53cecfc034806eef81f3b1e9a7f5ae3c
1313.13767	fig|1313.13767.peg.267	fcd135e1359aaeece8c938908761cee8
1313.13767	fig|1313.13767.repeat.141	
1313.13767	fig|1313.13767.peg.675	42d3c4c9e107ad4a0e95e4b9f3651cf5
1313.13767	fig|1313.13767.peg.664	65e6c37689a16c6ddf73fc7f4adf7389
1313.13767	fig|1313.13767.peg.1585	98d7e7dc0a807dd33ffe12d039f16411
